地火危城,https://maoyan.com/films/4345,https://z3.ax1x.com/2021/05/29/2EePY9.jpg,dhwc,"灾难,zn",,,"推荐,tj,ztj1",1997,"<a href=""https://maoyan.com/films/4345""><img src=""https://z3.ax1x.com/2021/05/29/2EePY9.jpg"" tag=""地火危城,dhwc,灾难,zn,,,推荐,tj,ztj1,1997""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/29/2EePY9.jpg"" onclick=""alert('地火危城,dhwc,灾难,zn,,,推荐,tj,ztj1,1997')"">&nbsp;</span>",11
独立日,https://maoyan.com/films/1895,https://z3.ax1x.com/2021/05/29/2EeMYd.jpg,dlr,"科幻,kh",,,"推荐,tj,ztj1",1996,"<a href=""https://maoyan.com/films/1895""><img src=""https://z3.ax1x.com/2021/05/29/2EeMYd.jpg"" tag=""独立日,dlr,科幻,kh,,,推荐,tj,ztj1,1996""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/29/2EeMYd.jpg"" onclick=""alert('独立日,dlr,科幻,kh,,,推荐,tj,ztj1,1996')"">&nbsp;</span>",12
盗梦空间,https://maoyan.com/films/416,https://z3.ax1x.com/2021/05/29/2Eewfs.jpg,dmkj,"科幻,kh",,"诺兰,nl,莱昂纳多,land","推荐,tj,zok",2010,"<a href=""https://maoyan.com/films/416""><img src=""https://z3.ax1x.com/2021/05/29/2Eewfs.jpg"" tag=""盗梦空间,dmkj,科幻,kh,,诺兰,nl,莱昂纳多,land,推荐,tj,ztj1,2010""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/29/2Eewfs.jpg"" onclick=""alert('盗梦空间,dmkj,科幻,kh,,诺兰,nl,莱昂纳多,land,推荐,tj,ztj1,2010')"">&nbsp;</span>",13
嗝嗝老师,https://maoyan.com/films/1229020,https://z3.ax1x.com/2021/05/29/2EmPHS.jpg,ggls,,"印,y",,"推荐,tj,ztj1",2018,"<a href=""https://maoyan.com/films/1229020""><img src=""https://z3.ax1x.com/2021/05/29/2EmPHS.jpg"" tag=""嗝嗝老师,ggls,,印,y,,推荐,tj,ztj1,2018""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/29/2EmPHS.jpg"" onclick=""alert('嗝嗝老师,ggls,,印,y,,推荐,tj,ztj1,2018')"">&nbsp;</span>",14
国王的演讲,https://maoyan.com/films/95,https://z3.ax1x.com/2021/05/29/2EmZ3n.jpg,gwdyj,,,,"推荐,tj,ztj1",2012,"<a href=""https://maoyan.com/films/95""><img src=""https://z3.ax1x.com/2021/05/29/2EmZ3n.jpg"" tag=""国王的演讲,gwdyj,,,,推荐,tj,ztj1,2012""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/29/2EmZ3n.jpg"" onclick=""alert('国王的演讲,gwdyj,,,,推荐,tj,ztj1,2012')"">&nbsp;</span>",15
狐狸与我,https://maoyan.com/films/26934,https://z3.ax1x.com/2021/05/30/2EgFVx.jpg,hlyw,,,,"推荐,tj,ztj1",2007,"<a href=""https://maoyan.com/films/26934""><img src=""https://z3.ax1x.com/2021/05/30/2EgFVx.jpg"" tag=""狐狸与我,hlyw,,,,推荐,tj,ztj1,2007""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/30/2EgFVx.jpg"" onclick=""alert('狐狸与我,hlyw,,,,推荐,tj,ztj1,2007')"">&nbsp;</span>",16
海上钢琴师,https://maoyan.com/films/1292,https://z3.ax1x.com/2021/05/30/2Eg3If.jpg,hsgqs,,,,"推荐,tj,ztj1",1998,"<a href=""https://maoyan.com/films/1292""><img src=""https://z3.ax1x.com/2021/05/30/2Eg3If.jpg"" tag=""海上钢琴师,hsgqs,,,,推荐,tj,ztj1,2019""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/30/2Eg3If.jpg"" onclick=""alert('海上钢琴师,hsgqs,,,,推荐,tj,ztj1,2019')"">&nbsp;</span>",17
金刚,https://maoyan.com/films/13633,https://z3.ax1x.com/2021/05/30/2EgyJU.jpg,jg,"冒险,mx",,,"推荐,tj,ztj1",2006,"<a href=""https://maoyan.com/films/13633""><img src=""https://z3.ax1x.com/2021/05/30/2EgyJU.jpg"" tag=""金刚,jg,冒险,mx,,,推荐,tj,ztj1,2006""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/30/2EgyJU.jpg"" onclick=""alert('金刚,jg,冒险,mx,,,推荐,tj,ztj1,2006')"">&nbsp;</span>",18
卢旺达饭店,https://maoyan.com/films/1234,https://z3.ax1x.com/2021/05/30/2E2pY8.jpg,lwdfd,"历史,ls",,,"推荐,tj,ztj1",2005,"<a href=""https://maoyan.com/films/1234""><img src=""https://z3.ax1x.com/2021/05/30/2E2pY8.jpg"" tag=""卢旺达饭店,lwdfd,历史,ls,,,推荐,tj,ztj1,2005""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/30/2E2pY8.jpg"" onclick=""alert('卢旺达饭店,lwdfd,历史,ls,,,推荐,tj,ztj1,2005')"">&nbsp;</span>",19
美国队长123,https://maoyan.com/films/625,https://z3.ax1x.com/2021/05/31/2Zy3i8.jpg,mgdz,"科幻,kh,动作,dz",,marvel,"推荐,tj,ztj1",2011,"<a href=""https://maoyan.com/films/625""><img src=""https://z3.ax1x.com/2021/05/31/2Zy3i8.jpg"" tag=""美国队长123,mgdz,科幻,kh,动作,dz,,marvel,推荐,tj,ztj1,2011""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zy3i8.jpg"" onclick=""alert('美国队长123,mgdz,科幻,kh,动作,dz,,marvel,推荐,tj,ztj1,2011')"">&nbsp;</span>",20
